AbstractEhrPersonalFile                 health_file
AbstractEhrHeRecord                     physical
AbstractEhrHypertensionInfomation       hgh_special
AbstractEhrHypertensionFollowup         hypertension
AbstractEhrDiabetesInfomation           diabetes_special
AbstractEhrDiabetesFollowup             diabetes 
EhrMaternalInformation                  EHR_MATERNAL_INFORMATION
EhrMaternalFollowupFirst                EHR_MATERNAL_FOLLOWUP_FIRST
EhrMaternalTwoToFive                    EHR_MATERNAL_TWO_TO_FIVE
EhrMaternalAfter42                      EHR_MATERNAL_AFTER_42
EhrMaternalAfter                        EHR_MATERNAL_AFTER
EhrTuberculosisCardDto                  EHR_TUBERCULOSIS_CARD
PsyInfomation                           EHR_HOLERGASIA_INFOMATION
PsyFollowUp                             EHR_HOLERGASIA_FOLLOW_UP
EhrClinicalReceptionDto                 EHR_CLINICAL_RECEPTION
EhrConsultationReceptionDto             EHR_CONSULTATION_RECEPTION
EhrDualReferralInDto                    EHR_DUAL_REFERRAL_IN
EhrDualReferralOutDto                   EHR_DUAL_REFERRAL_OUT
EhrInspectionInfoDto                    EHR_SUPERVISE_INSPECTION
EhrSuperviseInfoDto                     EHR_SUPERVISE_INFO
EhrElderlyZhongyiDto                    EHR_ELDERLY_ZHONGYI
EhrChildrenZhongyiDto                   EHR_CHILDREN_ZHONGYI
GgwsDiseaseDto                          health_diseases
GgwsEhrTraumaDto                        health_trauma
GgwsEhrBloodDto                         health_blood
GgwsEhrOperationDto                     health_operation
AbstractEhrHeAdmission                  physical_hospital
AbstractEhrHeDrug                       drug_condition
AbstractEhrHeNpimmunization             physical_inoculate
ImmunifactionCard                       EHR_IMMUNIFACTION_CARD
EhrChildrenExam                         EHR_CHILDREN_EXAM
EhrTuberculosisFirstDto                 EHR_TUBERCULOSIS_FIRSTFLUP
EhrElderlyInfomation                    EHR_ELDERLY_INFOMATION
PsyInfomation                           EHR_HOLERGASIA_INFOMATION
EhrChildrenInformation                  EHR_CHILDREN_INFORMATION
EhrContagionInfoDto                     EHR_CONTAGION_CARD
EhrElderlyEstimate                      EHR_ELDERLY_ESTIMATE
EhrEventsInfoDto                        EHR_EVENTS_CARD
EhrTeachingRecorde                      EHR_TEACHING_RECORDE
EhrTuberculosisFluDto                   EHR_TUBERCULOSIS_FOLLOWUP
EhrChildrenFollowup                     EHR_CHILDREN_FOLLOWUP
GgwsEhrFamilyDto                        health_family
